Counter,Date/time,Latitude,Longitude,Sunlight
98,2023-05-02 14:23:01.975274,-30.89993756518975,90.33601119666352,0
99,2023-05-02 14:23:42.449995,-29.067669114524527,92.32288832335288,0
100,2023-05-02 14:24:22.919918,-27.201598992110483,94.23424627892659,0
101,2023-05-02 14:25:03.393663,-25.30488359677716,96.07737621141867,0
102,2023-05-02 14:25:43.868798,-23.38088037085802,97.85873084330309,0
103,2023-05-02 14:26:24.339286,-21.43287819324279,99.58429870569003,0
104,2023-05-02 14:27:04.810129,-19.463415185071398,101.26023243334618,0
105,2023-05-02 14:27:45.282434,-17.47500344493897,102.8922164964636,0
106,2023-05-02 14:28:25.757364,-15.469977597129727,104.48565905882425,0
107,2023-05-02 14:29:06.230289,-13.450816209570249,106.04549210937908,0
108,2023-05-02 14:29:46.704798,-11.419462797146327,107.57674855931519,0
109,2023-05-02 14:30:27.176624,-9.3781332520528,109.08397925896531,0
110,2023-05-02 14:31:07.647842,-7.32865517048551,110.5717983812663,0
111,2023-05-02 14:31:48.120445,-5.272785755421838,112.04468108515206,0
112,2023-05-02 14:32:28.595111,-3.2122834653774235,113.5069570378649,0
113,2023-05-02 14:33:09.048210,-1.15011212943851,114.96200623611391,0
114,2023-05-02 14:33:49.504380,0.9132359243240049,116.41489069564938,0
115,2023-05-02 14:34:29.958999,2.975803963316909,117.86961141604084,0
116,2023-05-02 14:35:10.418164,5.036161335157292,119.33056017320892,0
117,2023-05-02 14:35:50.874338,7.092167392345488,120.80168467649086,0
118,2023-05-02 14:36:31.330962,9.14219902662008,122.28739746399121,0
119,2023-05-02 14:37:11.789002,11.18446929053409,123.7921369570869,0
120,2023-05-02 14:37:52.243802,13.21681229411292,125.32024197370798,0
121,2023-05-02 14:38:32.698008,15.23736600011896,126.87649914502676,0
122,2023-05-02 14:39:13.156175,17.24424166260538,128.46595910656308,0
123,2023-05-02 14:39:53.609598,19.234774666624222,130.0933751509057,0
124,2023-05-02 14:40:34.070965,21.207203467769453,131.76460571373144,0
125,2023-05-02 14:41:14.526646,23.158308325977327,133.48470874345017,0
126,2023-05-02 14:41:54.983188,25.08565344390636,135.2598629818967,0
127,2023-05-02 14:42:35.438809,26.986172354683106,137.09621025150392,0
128,2023-05-02 14:43:15.894229,28.856666295057636,139.0003261428191,0
129,2023-05-02 14:43:56.352312,30.693741046114585,140.97921710577805,0
130,2023-05-02 14:44:36.807443,32.49330108570496,143.03978282221894,0
131,2023-05-02 14:45:17.265491,34.251395823103714,145.18975069012146,0
132,2023-05-02 14:45:57.719664,35.96315097141383,147.43641637722322,0
133,2023-05-02 14:46:38.179433,37.62393550281564,149.78805312893425,0
134,2023-05-02 14:47:18.634942,39.22787813111078,152.2518243387228,0
135,2023-05-02 14:47:59.090414,40.76921021708296,154.8354668160086,0
136,2023-05-02 14:48:39.545742,42.24150181249977,157.5459962050569,0
137,2023-05-02 14:49:20.003492,43.637930471783356,160.38980646610023,0
138,2023-05-02 14:50:00.458410,44.95096220988192,163.37154429498446,0
139,2023-05-02 14:50:40.917400,46.17306421822745,166.4950559405491,0
140,2023-05-02 14:51:21.374352,47.29599832385393,169.76101755273945,0
141,2023-05-02 14:51:39.827794,47.77305241223743,171.29772669737366,1
142,2023-05-02 14:51:58.291234,48.22724001019006,172.86430234991278,1
143,2023-05-02 14:52:16.754407,48.657514413813594,174.45937885239678,1
